Phone Number,Call Outcome,Agent,Call Number
138267613259,INTERESTED,orange,100
762850680150,CALL BACK LATER,red,101
531815036338,INTERESTED,orange,102
899921761538,CALL BACK LATER,orange,103
906739234066,INTERESTED,orange,104
766207528598,INTERESTED,red,105
259647170580,ANSWER MACHINE,orange,106
910386759417,CALL BACK LATER,orange,107
953081145527,ANSWER MACHINE,green,108
800543090846,INTERESTED,black,109
838924170928,CALL BACK LATER,orange,110
370553868746,NOT INTERESTED,red,111
465195010121,INTERESTED,orange,112
760807023465,NOT INTERESTED,orange,113
209516994393,INTERESTED,orange,114
032675615216,CALL BACK LATER,orange,115
209759093674,NOT INTERESTED,black,116
330516748999,NOT INTERESTED,orange,117
535815495109,CALL BACK LATER,orange,118
499205142144,CALL BACK LATER,orange,119
258430499231,INTERESTED,orange,120
914770820102,NOT INTERESTED,green,121
823909265515,NOT INTERESTED,black,122
570869959626,NOT INTERESTED,orange,123
440018216070,NOT INTERESTED,orange,124
845897891232,NOT INTERESTED,orange,125
976542693663,INTERESTED,orange,126
770169781152,INTERESTED,orange,127
163178719806,CALL BACK LATER,orange,128
651794728435,NOT INTERESTED,orange,129
110408008418,NOT INTERESTED,orange,130
440484736402,CALL BACK LATER,orange,131
807787091987,NOT INTERESTED,orange,132
012468977220,INTERESTED,black,133
435182849654,ANSWER MACHINE,blue,134
858265054430,DEAD LINE,red,135
863273738338,INTERESTED,red,136
921737508295,INTERESTED,red,137
131484034149,NOT INTERESTED,orange,138
249918956255,CALL BACK LATER,orange,139
251645343290,INTERESTED,red,140
005283534597,NOT INTERESTED,blue,141
869760481345,CALL BACK LATER,black,142
281074426663,NOT INTERESTED,orange,143
897699247997,NOT INTERESTED,red,144
155331437525,INTERESTED,red,145
955672801925,INTERESTED,red,146
082542747733,NOT INTERESTED,orange,147
383990139686,ANSWER MACHINE,orange,148
293711462209,ANSWER MACHINE,orange,149
096858758621,INTERESTED,orange,150
393136935928,INTERESTED,orange,151
103504631802,NOT INTERESTED,orange,152
229710505543,CALL BACK LATER,blue,153
408738284821,INTERESTED,orange,154
706883848370,INTERESTED,orange,155
895690834780,INTERESTED,orange,156
902866538404,NOT INTERESTED,orange,157
929613074860,INTERESTED,orange,158
548629282291,CALL BACK LATER,orange,159
746984320569,CALL BACK LATER,black,160
196435607006,INTERESTED,black,161
492669844363,INTERESTED,red,162
305200568163,INTERESTED,green,163
015485914907,DEAD LINE,black,164
048284566610,NOT INTERESTED,red,165
276993523399,CALL BACK LATER,orange,166
846739088633,CALL BACK LATER,red,167
543870036246,CALL BACK LATER,red,168
895720673890,INTERESTED,orange,169
793782251135,INTERESTED,red,170
109738525062,CALL BACK LATER,red,171
808805389129,INTERESTED,black,172
484404817049,CALL BACK LATER,orange,173
451381367486,INTERESTED,orange,174
393081481011,NOT INTERESTED,black,175
036631269601,INTERESTED,green,176
257166830354,NOT INTERESTED,orange,177
409430185713,NOT INTERESTED,black,178
095288471924,INTERESTED,orange,179
241090303278,NOT INTERESTED,red,180
035177951374,CALL BACK LATER,orange,181
393973970255,INTERESTED,red,182
614145811053,NOT INTERESTED,orange,183
156230038118,INTERESTED,black,184
387809454561,CALL BACK LATER,blue,185
698064645617,INTERESTED,orange,186
495376186080,INTERESTED,red,187
606232987289,NOT INTERESTED,orange,188
815783154294,CALL BACK LATER,orange,189
210791228120,CALL BACK LATER,black,190
326448705547,CALL BACK LATER,orange,191
868441654318,INTERESTED,orange,192
830820515791,INTERESTED,red,193
749539537458,NOT INTERESTED,black,194
352038760994,DEAD LINE,orange,195
688074788855,NOT INTERESTED,orange,196
001317965432,INTERESTED,orange,197
663334774296,CALL BACK LATER,black,198
690179161001,NOT INTERESTED,orange,199
203826694487,CALL BACK LATER,black,200
762850680150,INTERESTED,green,201
358452782623,INTERESTED,orange,202
899921761538,NOT INTERESTED,black,203
140443964443,CALL BACK LATER,orange,204
762862473771,NOT INTERESTED,black,205
259647170580,INTERESTED,red,206
910386759417,CALL BACK LATER,black,207
953081145527,CALL BACK LATER,orange,208
886498908747,DEAD LINE,orange,209
838924170928,INTERESTED,red,210
504310709558,NOT INTERESTED,black,211
292077857556,CALL BACK LATER,red,212
115775667905,ANSWER MACHINE,red,213
626069848486,INTERESTED,red,214
032675615216,NOT INTERESTED,orange,215
354237073962,DEAD LINE,red,216
123910429544,ANSWER MACHINE,red,217
535815495109,NOT INTERESTED,red,218
499205142144,INTERESTED,red,219
773920124136,DEAD LINE,green,220
986584706514,CALL BACK LATER,black,221
595818640767,ANSWER MACHINE,orange,222
873540973102,ANSWER MACHINE,orange,223
287614157254,NOT INTERESTED,orange,224
058048545341,ANSWER MACHINE,orange,225
585345286279,CALL BACK LATER,red,226
054282573370,CALL BACK LATER,green,227
163178719806,INTERESTED,orange,228
789168341098,ANSWER MACHINE,black,229
117924110459,NOT INTERESTED,red,230
440484736402,INTERESTED,orange,231
031244603531,NOT INTERESTED,red,232
921980391370,ANSWER MACHINE,black,233
435182849654,NOT INTERESTED,orange,234
388295208858,INTERESTED,green,235
856716511479,CALL BACK LATER,orange,236
571531783959,INTERESTED,red,237
493021796917,ANSWER MACHINE,red,238
249918956255,CALL BACK LATER,orange,239
729309860705,NOT INTERESTED,orange,240
627813252097,INTERESTED,black,241
869760481345,INTERESTED,orange,242
782705246942,CALL BACK LATER,orange,243
447779861855,ANSWER MACHINE,black,244
405920378407,INTERESTED,orange,245
823484786552,ANSWER MACHINE,orange,246
502322148773,NOT INTERESTED,black,247
383990139686,CALL BACK LATER,orange,248
293711462209,NOT INTERESTED,orange,249
347123213768,CALL BACK LATER,orange,250
165793112849,NOT INTERESTED,orange,251
082323095167,ANSWER MACHINE,black,252
229710505543,CALL BACK LATER,orange,253
630411001865,CALL BACK LATER,orange,254
326431115297,INTERESTED,orange,255
738012126484,CALL BACK LATER,orange,256
662294186918,NOT INTERESTED,red,257
408483152719,ANSWER MACHINE,red,258
548629282291,CALL BACK LATER,red,259
746984320569,CALL BACK LATER,red,260
440996682511,INTERESTED,red,261
604550679803,NOT INTERESTED,orange,262
114173967363,CALL BACK LATER,orange,263
559501413615,NOT INTERESTED,orange,264
750272224466,CALL BACK LATER,red,265
276993523399,NOT INTERESTED,orange,266
846739088633,INTERESTED,green,267
543870036246,CALL BACK LATER,red,268
412830462891,CALL BACK LATER,orange,269
921216503932,DEAD LINE,orange,270
109738525062,CALL BACK LATER,blue,271
689354041812,INTERESTED,orange,272
484404817049,CALL BACK LATER,red,273
370259184994,NOT INTERESTED,orange,274
694203304547,NOT INTERESTED,green,275
217280799905,NOT INTERESTED,orange,276
576073323343,ANSWER MACHINE,black,277
436286603726,NOT INTERESTED,red,278
161989589594,CALL BACK LATER,orange,279
539220312168,DEAD LINE,orange,280
035177951374,INTERESTED,red,281
074464434702,NOT INTERESTED,black,282
507617234824,DEAD LINE,black,283
217368702143,INTERESTED,orange,284
387809454561,INTERESTED,orange,285
149469224764,ANSWER MACHINE,blue,286
943090822855,ANSWER MACHINE,red,287
947935886845,INTERESTED,orange,288
815783154294,INTERESTED,orange,289
210791228120,CALL BACK LATER,orange,290
326448705547,NOT INTERESTED,black,291
398711009995,NOT INTERESTED,red,292
956661649799,INTERESTED,orange,293
431534563311,CALL BACK LATER,orange,294
760101047882,INTERESTED,orange,295
372446826804,NOT INTERESTED,orange,296
918913782064,INTERESTED,orange,297
663334774296,CALL BACK LATER,black,298
438948157476,INTERESTED,orange,299
203826694487,INTERESTED,orange,300
753270998896,INTERESTED,red,301
893471229880,INTERESTED,orange,302
034923602339,NOT INTERESTED,red,303
140443964443,NOT INTERESTED,orange,304
874307117433,INTERESTED,red,305
121525861172,ANSWER MACHINE,red,306
910386759417,NOT INTERESTED,orange,307
953081145527,INTERESTED,red,308
878175114026,NOT INTERESTED,black,309
739194310736,ANSWER MACHINE,black,310
758161736762,NOT INTERESTED,red,311
292077857556,CALL BACK LATER,black,312
115775667905,NOT INTERESTED,orange,313
365700652131,CALL BACK LATER,orange,314
429371516707,ANSWER MACHINE,red,315
428836267120,NOT INTERESTED,orange,316
123910429544,CALL BACK LATER,orange,317
631845687245,DEAD LINE,orange,318
517139063495,INTERESTED,red,319
596420259477,DEAD LINE,black,320
986584706514,CALL BACK LATER,red,321
595818640767,INTERESTED,orange,322
873540973102,CALL BACK LATER,orange,323
717683263405,ANSWER MACHINE,orange,324
058048545341,NOT INTERESTED,orange,325
585345286279,CALL BACK LATER,red,326
054282573370,NOT INTERESTED,red,327
958285948992,CALL BACK LATER,orange,328
789168341098,CALL BACK LATER,red,329
106950724226,CALL BACK LATER,orange,330
076276986292,DEAD LINE,orange,331
429435159332,CALL BACK LATER,green,332
921980391370,NOT INTERESTED,orange,333
119127107229,NOT INTERESTED,orange,334
840749911543,ANSWER MACHINE,black,335
856716511479,CALL BACK LATER,orange,336
515247636278,NOT INTERESTED,orange,337
493021796917,NOT INTERESTED,black,338
249918956255,CALL BACK LATER,black,339
519473260566,ANSWER MACHINE,red,340
717791419021,ANSWER MACHINE,orange,341
707311486893,CALL BACK LATER,green,342
782705246942,NOT INTERESTED,black,343
447779861855,NOT INTERESTED,orange,344
959741652759,INTERESTED,orange,345
823484786552,CALL BACK LATER,black,346
273258522130,ANSWER MACHINE,orange,347
383990139686,NOT INTERESTED,black,348
608962462045,INTERESTED,red,349
347123213768,INTERESTED,orange,350
881898968515,CALL BACK LATER,black,351
082323095167,NOT INTERESTED,black,352
229710505543,CALL BACK LATER,red,353
630411001865,INTERESTED,black,354
460679581943,NOT INTERESTED,red,355
738012126484,INTERESTED,orange,356
364680324176,CALL BACK LATER,red,357
408483152719,INTERESTED,black,358
548629282291,NOT INTERESTED,orange,359
746984320569,CALL BACK LATER,orange,360
275590049937,INTERESTED,orange,361
482212372453,INTERESTED,black,362
114173967363,INTERESTED,red,363
225465921581,ANSWER MACHINE,green,364
750272224466,INTERESTED,red,365
374198912963,CALL BACK LATER,orange,366
892885195479,INTERESTED,black,367
543870036246,INTERESTED,red,368
412830462891,INTERESTED,black,369
820123308648,INTERESTED,red,370
109738525062,CALL BACK LATER,black,371
001491024555,CALL BACK LATER,orange,372
484404817049,CALL BACK LATER,black,373
081249892925,CALL BACK LATER,red,374
255173175249,NOT INTERESTED,red,375
668862964533,CALL BACK LATER,orange,376
576073323343,CALL BACK LATER,red,377
443698163419,CALL BACK LATER,red,378
161989589594,INTERESTED,orange,379
967742850061,INTERESTED,red,380
469092610120,INTERESTED,red,381
671361342184,ANSWER MACHINE,red,382
191818466848,CALL BACK LATER,red,383
375139201783,CALL BACK LATER,orange,384
651852046754,CALL BACK LATER,blue,385
149469224764,CALL BACK LATER,orange,386
943090822855,INTERESTED,orange,387
454044186138,CALL BACK LATER,orange,388
957484137676,NOT INTERESTED,green,389
210791228120,INTERESTED,green,390
600640999720,CALL BACK LATER,red,391
982516434488,CALL BACK LATER,blue,392
597963378591,ANSWER MACHINE,orange,393
431534563311,INTERESTED,orange,394
323271436047,NOT INTERESTED,orange,395
033040020902,CALL BACK LATER,red,396
940810925474,NOT INTERESTED,black,397
663334774296,CALL BACK LATER,red,398
382641210341,ANSWER MACHINE,green,399
051030199503,DEAD LINE,black,400
834954872488,ANSWER MACHINE,red,401
143349019445,NOT INTERESTED,orange,402
952903182483,CALL BACK LATER,black,403
232532581380,INTERESTED,orange,404
794392071586,CALL BACK LATER,orange,405
121525861172,NOT INTERESTED,orange,406
821969451288,CALL BACK LATER,red,407
495197483838,DEAD LINE,orange,408
733098650763,CALL BACK LATER,orange,409
739194310736,INTERESTED,black,410
842199888501,NOT INTERESTED,orange,411
292077857556,NOT INTERESTED,red,412
825853549636,ANSWER MACHINE,orange,413
365700652131,CALL BACK LATER,orange,414
429371516707,INTERESTED,black,415
935847887624,CALL BACK LATER,orange,416
123910429544,INTERESTED,red,417
418218079052,NOT INTERESTED,orange,418
267693840414,CALL BACK LATER,orange,419
866724032322,DEAD LINE,red,420
986584706514,INTERESTED,red,421
698500264800,NOT INTERESTED,red,422
873540973102,INTERESTED,blue,423
717683263405,NOT INTERESTED,green,424
790866676916,CALL BACK LATER,red,425
585345286279,NOT INTERESTED,black,426
319898668055,NOT INTERESTED,orange,427
958285948992,CALL BACK LATER,orange,428
789168341098,INTERESTED,black,429
106950724226,CALL BACK LATER,orange,430
040696310018,CALL BACK LATER,orange,431
429435159332,INTERESTED,black,432
043525127533,NOT INTERESTED,black,433
335995665436,CALL BACK LATER,black,434
840749911543,NOT INTERESTED,orange,435
856716511479,INTERESTED,red,436
497050754349,ANSWER MACHINE,red,437
524344647849,CALL BACK LATER,orange,438
249918956255,CALL BACK LATER,orange,439
519473260566,NOT INTERESTED,orange,440
717791419021,NOT INTERESTED,red,441
707311486893,CALL BACK LATER,orange,442
901354045885,INTERESTED,orange,443
108868282975,CALL BACK LATER,orange,444
842110737555,CALL BACK LATER,black,445
823484786552,NOT INTERESTED,black,446
273258522130,INTERESTED,red,447
768927709191,CALL BACK LATER,red,448
609354883086,ANSWER MACHINE,orange,449
610133953723,ANSWER MACHINE,orange,450
881898968515,CALL BACK LATER,red,451
444650264033,CALL BACK LATER,black,452
229710505543,NOT INTERESTED,black,453
046984537459,CALL BACK LATER,orange,454
878027123389,INTERESTED,red,455
312770862391,INTERESTED,orange,456
364680324176,INTERESTED,red,457
126787296794,CALL BACK LATER,orange,458
774858589323,CALL BACK LATER,black,459
746984320569,NOT INTERESTED,red,460
194166499560,INTERESTED,orange,461
784712440168,INTERESTED,orange,462
406053062776,INTERESTED,orange,463
225465921581,CALL BACK LATER,orange,464
409320008840,CALL BACK LATER,red,465
374198912963,INTERESTED,orange,466
533903604660,CALL BACK LATER,green,467
699246269334,NOT INTERESTED,red,468
508813866064,INTERESTED,red,469
379232815493,ANSWER MACHINE,green,470
109738525062,CALL BACK LATER,red,471
001491024555,CALL BACK LATER,orange,472
484404817049,INTERESTED,orange,473
081249892925,INTERESTED,orange,474
882699482559,CALL BACK LATER,red,475
668862964533,CALL BACK LATER,green,476
576073323343,NOT INTERESTED,black,477
443698163419,INTERESTED,red,478
903700224964,NOT INTERESTED,black,479
277867553924,CALL BACK LATER,orange,480
447935370497,ANSWER MACHINE,red,481
671361342184,INTERESTED,green,482
191818466848,CALL BACK LATER,red,483
375139201783,INTERESTED,orange,484
651852046754,CALL BACK LATER,orange,485
149469224764,INTERESTED,blue,486
849870790006,INTERESTED,red,487
454044186138,CALL BACK LATER,red,488
574884343612,CALL BACK LATER,black,489
882084756509,CALL BACK LATER,orange,490
600640999720,CALL BACK LATER,red,491
982516434488,INTERESTED,red,492
597963378591,CALL BACK LATER,orange,493
420466720149,CALL BACK LATER,orange,494
172691739280,ANSWER MACHINE,orange,495
033040020902,CALL BACK LATER,red,496
800480778100,DEAD LINE,orange,497
663334774296,INTERESTED,orange,498
382641210341,NOT INTERESTED,orange,499
694416952291,NOT INTERESTED,black,500
834954872488,CALL BACK LATER,red,501
582072743543,DEAD LINE,red,502
952903182483,CALL BACK LATER,black,503
259905358100,CALL BACK LATER,red,504
794392071586,INTERESTED,red,505
254104640514,NOT INTERESTED,orange,506
821969451288,INTERESTED,orange,507
784681832599,INTERESTED,red,508
733098650763,NOT INTERESTED,orange,509
423367725314,INTERESTED,orange,510
713549369530,ANSWER MACHINE,orange,511
620905725549,ANSWER MACHINE,orange,512
825853549636,INTERESTED,orange,513
365700652131,NOT INTERESTED,orange,514
331328977636,NOT INTERESTED,orange,515
935847887624,INTERESTED,red,516
796131866850,CALL BACK LATER,orange,517
048501703181,NOT INTERESTED,orange,518
267693840414,CALL BACK LATER,orange,519
780103359482,NOT INTERESTED,red,520
508916143528,ANSWER MACHINE,orange,521
790158772655,CALL BACK LATER,black,522
519821169830,ANSWER MACHINE,red,523
010343024348,INTERESTED,red,524
790866676916,CALL BACK LATER,black,525
892766858529,DEAD LINE,black,526
083502073387,ANSWER MACHINE,black,527
958285948992,CALL BACK LATER,black,528
922077542422,ANSWER MACHINE,orange,529
106950724226,CALL BACK LATER,orange,530
040696310018,NOT INTERESTED,black,531
549735000604,ANSWER MACHINE,black,532
789604474154,ANSWER MACHINE,orange,533
335995665436,INTERESTED,orange,534
952191256939,CALL BACK LATER,orange,535
156481027236,CALL BACK LATER,orange,536
497050754349,NOT INTERESTED,red,537
524344647849,CALL BACK LATER,red,538
249918956255,CALL BACK LATER,orange,539
601768722403,NOT INTERESTED,orange,540
885456589345,ANSWER MACHINE,red,541
707311486893,CALL BACK LATER,blue,542
128684443541,ANSWER MACHINE,green,543
108868282975,NOT INTERESTED,orange,544
842110737555,NOT INTERESTED,black,545
408210023433,ANSWER MACHINE,orange,546
875785853728,NOT INTERESTED,red,547
768927709191,NOT INTERESTED,orange,548
609354883086,NOT INTERESTED,orange,549
610133953723,INTERESTED,blue,550
881898968515,CALL BACK LATER,orange,551
444650264033,NOT INTERESTED,red,552
323524402588,CALL BACK LATER,orange,553
046984537459,CALL BACK LATER,orange,554
610109527890,ANSWER MACHINE,red,555
710294891120,CALL BACK LATER,orange,556
828154447106,INTERESTED,orange,557
126787296794,NOT INTERESTED,orange,558
774858589323,NOT INTERESTED,orange,559
330980392249,CALL BACK LATER,black,560
294038589820,INTERESTED,blue,561
436938229845,CALL BACK LATER,red,562
361177892635,NOT INTERESTED,orange,563
225465921581,CALL BACK LATER,orange,564
409320008840,CALL BACK LATER,red,565
707950138568,DEAD LINE,orange,566
533903604660,INTERESTED,orange,567
150545120958,CALL BACK LATER,orange,568
692006146975,NOT INTERESTED,orange,569
379232815493,CALL BACK LATER,red,570
109738525062,INTERESTED,red,571
001491024555,NOT INTERESTED,red,572
828562022695,INTERESTED,orange,573
304041711122,INTERESTED,orange,574
882699482559,CALL BACK LATER,red,575
668862964533,NOT INTERESTED,red,576
059110598631,NOT INTERESTED,black,577
366789748122,CALL BACK LATER,black,578
771188561843,CALL BACK LATER,orange,579
277867553924,INTERESTED,red,580
447935370497,NOT INTERESTED,black,581
930521684193,NOT INTERESTED,orange,582
191818466848,INTERESTED,orange,583
886719692077,CALL BACK LATER,black,584
651852046754,INTERESTED,black,585
392765753317,NOT INTERESTED,red,586
779671799320,NOT INTERESTED,orange,587
454044186138,CALL BACK LATER,green,588
574884343612,INTERESTED,black,589
882084756509,CALL BACK LATER,orange,590
600640999720,CALL BACK LATER,green,591
039401100025,INTERESTED,orange,592
597963378591,INTERESTED,red,593
420466720149,INTERESTED,green,594
172691739280,CALL BACK LATER,blue,595
033040020902,INTERESTED,orange,596
545889465073,NOT INTERESTED,black,597
679099707078,CALL BACK LATER,black,598
154408907248,NOT INTERESTED,orange,599
340024812217,NOT INTERESTED,orange,600
834954872488,INTERESTED,red,601
608718421593,CALL BACK LATER,black,602
952903182483,NOT INTERESTED,red,603
259905358100,INTERESTED,green,604
237343559445,NOT INTERESTED,orange,605
850281902065,ANSWER MACHINE,red,606
318914721885,NOT INTERESTED,red,607
373753340796,INTERESTED,red,608
531094853631,NOT INTERESTED,red,609
306584309336,ANSWER MACHINE,orange,610
713549369530,NOT INTERESTED,red,611
620905725549,NOT INTERESTED,red,612
441486291343,ANSWER MACHINE,orange,613
355585070741,NOT INTERESTED,black,614
334173743135,NOT INTERESTED,orange,615
004026885523,CALL BACK LATER,orange,616
796131866850,CALL BACK LATER,orange,617
890683365997,NOT INTERESTED,orange,618
267693840414,NOT INTERESTED,orange,619
647135734754,NOT INTERESTED,black,620
508916143528,NOT INTERESTED,orange,621
790158772655,NOT INTERESTED,orange,622
519821169830,CALL BACK LATER,orange,623
054696915641,NOT INTERESTED,red,624
790866676916,CALL BACK LATER,blue,625
198874746848,NOT INTERESTED,orange,626
083502073387,NOT INTERESTED,red,627
958285948992,NOT INTERESTED,orange,628
922077542422,NOT INTERESTED,black,629
106950724226,CALL BACK LATER,red,630
675730259819,NOT INTERESTED,orange,631
549735000604,CALL BACK LATER,red,632
789604474154,NOT INTERESTED,red,633
175368997810,CALL BACK LATER,orange,634
952191256939,INTERESTED,orange,635
156481027236,INTERESTED,orange,636
867130810054,NOT INTERESTED,orange,637
524344647849,CALL BACK LATER,orange,638
249918956255,INTERESTED,red,639
511663739103,ANSWER MACHINE,black,640
885456589345,NOT INTERESTED,orange,641
707311486893,NOT INTERESTED,orange,642
128684443541,CALL BACK LATER,red,643
584411943216,NOT INTERESTED,red,644
756299854254,INTERESTED,black,645
408210023433,INTERESTED,blue,646
339053587271,CALL BACK LATER,red,647
398489534488,NOT INTERESTED,red,648
918554435601,CALL BACK LATER,orange,649
847136147596,NOT INTERESTED,black,650
881898968515,NOT INTERESTED,orange,651
893860897748,ANSWER MACHINE,blue,652
323524402588,CALL BACK LATER,black,653
046984537459,CALL BACK LATER,blue,654
610109527890,NOT INTERESTED,black,655
710294891120,NOT INTERESTED,black,656
791781404918,CALL BACK LATER,orange,657
677633176923,ANSWER MACHINE,orange,658
021397017062,CALL BACK LATER,orange,659
330980392249,CALL BACK LATER,orange,660
918175825647,NOT INTERESTED,green,661
436938229845,CALL BACK LATER,green,662
780825243200,INTERESTED,red,663
225465921581,NOT INTERESTED,orange,664
409320008840,CALL BACK LATER,red,665
276895006409,CALL BACK LATER,orange,666
912985224060,INTERESTED,red,667
150545120958,NOT INTERESTED,orange,668
535875590100,NOT INTERESTED,orange,669
379232815493,CALL BACK LATER,orange,670
658601800992,NOT INTERESTED,black,671
236485696618,CALL BACK LATER,orange,672
373375599377,NOT INTERESTED,red,673
210746104218,CALL BACK LATER,orange,674
882699482559,NOT INTERESTED,black,675
583272875654,NOT INTERESTED,black,676
775677042565,CALL BACK LATER,orange,677
366789748122,INTERESTED,red,678
771188561843,INTERESTED,orange,679
523787984735,CALL BACK LATER,orange,680
181675971287,CALL BACK LATER,black,681
832071301586,CALL BACK LATER,green,682
866226935235,INTERESTED,red,683
886719692077,CALL BACK LATER,orange,684
715036880531,ANSWER MACHINE,green,685
505229847602,ANSWER MACHINE,blue,686
281239512890,CALL BACK LATER,red,687
454044186138,INTERESTED,orange,688
699868584738,NOT INTERESTED,black,689
882084756509,INTERESTED,red,690
600640999720,CALL BACK LATER,orange,691
769983294118,ANSWER MACHINE,red,692
813957967123,NOT INTERESTED,red,693
851763285748,NOT INTERESTED,red,694
172691739280,NOT INTERESTED,red,695
224827723093,CALL BACK LATER,red,696
782063085384,CALL BACK LATER,orange,697
679099707078,INTERESTED,orange,698
526980822004,INTERESTED,orange,699
382671095594,CALL BACK LATER,orange,700
779942783952,ANSWER MACHINE,green,701
608718421593,CALL BACK LATER,red,702
977059286466,ANSWER MACHINE,green,703
543204128414,NOT INTERESTED,red,704
889380859178,NOT INTERESTED,red,705
850281902065,CALL BACK LATER,red,706
321728526958,CALL BACK LATER,orange,707
522231313750,CALL BACK LATER,orange,708
037662775358,CALL BACK LATER,orange,709
306584309336,INTERESTED,black,710
233042744299,ANSWER MACHINE,red,711
233650936512,CALL BACK LATER,orange,712
441486291343,NOT INTERESTED,orange,713
838760930084,INTERESTED,red,714
827785404655,CALL BACK LATER,black,715
004026885523,INTERESTED,red,716
796131866850,INTERESTED,red,717
008232535695,CALL BACK LATER,red,718
199515838489,CALL BACK LATER,orange,719
278426000824,CALL BACK LATER,orange,720
801119327352,CALL BACK LATER,orange,721
625255194849,DEAD LINE,red,722
519821169830,CALL BACK LATER,red,723
630647213785,CALL BACK LATER,orange,724
790866676916,INTERESTED,orange,725
963813968499,ANSWER MACHINE,red,726
763378376005,INTERESTED,orange,727
807001049723,NOT INTERESTED,red,728
850737695075,INTERESTED,green,729
106950724226,INTERESTED,orange,730
838783660167,ANSWER MACHINE,orange,731
549735000604,NOT INTERESTED,black,732
766893915094,INTERESTED,orange,733
175368997810,INTERESTED,red,734
763057593828,INTERESTED,red,735
906169944249,CALL BACK LATER,orange,736
985833081374,ANSWER MACHINE,orange,737
524344647849,INTERESTED,black,738
891305722444,CALL BACK LATER,black,739
511663739103,CALL BACK LATER,orange,740
532366581869,ANSWER MACHINE,black,741
